date,polarity
2015-01-20,0.0
2015-01-22,32.698412698412696
2015-01-23,163.33333333333331
2015-01-24,-30.0
2015-01-26,-68.74999999999999
2015-01-28,1.666666666666668
2015-01-29,-51.111111111111114
2015-01-30,-10.0
2015-02-02,6.666666666666667
2015-02-08,15.511363636363635
2015-02-09,57.22222222222221
2015-02-10,51.13636363636363
2015-02-11,1.7500000000000002
2015-02-12,149.83333333333334
2015-02-24,50.0
2015-02-26,20.25
2015-03-02,0.0
2015-03-07,35.0
2015-03-08,13.333333333333334
2015-03-10,0.0
2015-03-11,-10.0
2015-03-12,23.333333333333336
2015-03-13,58.0952380952381
2015-03-14,-60.0
2015-03-15,6.8181818181818175
2015-03-16,-46.25
2015-03-17,13.333333333333334
2015-03-18,16.818181818181817
2015-03-21,42.65873015873016
2015-03-22,60.00000000000001
2015-03-23,-8.181818181818183
2015-03-24,29.285714285714295
2015-03-27,0.0
2015-03-30,9.943181818181818
2015-03-31,16.818181818181817
2015-04-01,52.32323232323233
2015-04-02,0.0
2015-04-04,0.0
2015-04-06,91.66666666666667
2015-04-07,-13.750000000000002
2015-04-09,16.0
2015-04-11,67.63636363636363
2015-04-12,20.0
2015-04-13,40.833333333333336
2015-04-14,46.72619047619048
2015-04-15,31.25
2015-04-16,11.888888888888888
2015-04-17,0.0
2015-04-18,-1.515151515151516
2015-04-19,7.666666666666666
2015-04-23,15.909090909090908
2015-04-27,50.0
2015-04-28,34.99999999999999
2015-04-29,35.0
2015-04-30,60.0
2015-05-01,45.0
2015-05-02,0.0
2015-05-03,25.0
2015-05-04,32.5
2015-05-05,-15.555555555555559
2015-05-06,36.666666666666664
2015-05-12,98.33333333333333
2015-05-13,0.0
2015-05-16,-10.000000000000002
2015-05-17,23.333333333333332
2015-05-19,0.0
2015-05-20,35.0
2015-05-22,60.55555555555555
2015-05-27,0.0
2015-06-01,27.500000000000004
2015-06-03,21.666666666666664
2015-06-06,0.0
2015-06-12,26.666666666666668
2015-06-15,5.625000000000001
2015-06-20,60.0
2015-06-23,32.5
2015-06-26,0.0
2015-06-27,164.16666666666666
2015-06-28,218.57683982683983
2015-06-29,-3.3333333333333335
2015-07-05,0.0
2015-07-06,0.0
2015-07-10,-2.4999999999999996
2015-07-13,20.000000000000004
2015-07-17,0.0
2015-07-18,0.0
2015-07-27,0.0
2015-07-28,1.666666666666667
2015-07-30,40.0
2015-07-31,112.0
2015-08-05,48.75000000000001
2015-08-06,-50.0
2015-08-08,0.0
2015-08-13,-15.555555555555559
2015-08-16,100.0
2015-08-17,0.0
2015-08-20,48.333333333333336
2015-08-23,36.900000000000006
2015-08-25,3.2467532467532463
2015-08-27,100.0
2015-09-02,117.51818181818182
2015-09-11,12.5
2015-09-12,0.0
2015-09-13,23.40909090909091
2015-09-14,0.0
2015-09-15,43.333333333333336
2015-09-16,-7.142857142857142
2015-09-24,51.66666666666666
2015-09-25,92.5
2015-09-26,0.0
2015-09-27,40.0
2015-09-28,21.666666666666664
2015-09-29,16.818181818181817
2015-09-30,80.3030303030303
2015-10-02,150.0
2015-10-03,70.43650793650794
2015-10-09,-12.5
2015-10-10,91.5
2015-10-11,96.51515151515152
2015-10-15,173.75
2015-10-16,0.0
2015-10-17,100.0
2015-10-19,10.0
2015-10-22,310.3030303030303
2015-10-24,56.74242424242424
2015-10-25,78.40476190476191
2015-10-26,140.0
2015-10-27,60.00000000000001
2015-10-29,-15.681818181818183
2015-10-30,45.0
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,0.0
2015-11-05,0.0
2015-11-08,0.0
2015-11-12,0.0
2015-11-18,50.0
2015-11-20,144.83333333333331
2015-11-21,0.0
2015-11-24,53.214285714285715
2015-11-27,-25.0
2015-12-02,0.0
2015-12-03,70.0
2015-12-04,60.0
2015-12-06,100.0
2015-12-10,35.0
2015-12-11,0.0
2015-12-15,100.0
2015-12-17,34.28571428571428
2015-12-18,109.16666666666666
2015-12-19,72.08333333333333
2015-12-20,61.13636363636363
2015-12-21,0.0
2015-12-22,126.02525252525253
2016-01-01,10.0
2016-01-02,20.0
2016-01-10,25.0
2016-01-11,5.000000000000004
2016-01-12,16.0
2016-01-16,68.14814814814815
2016-01-17,103.07323232323232
2016-01-18,89.16666666666667
2016-01-19,40.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,50.0
2016-01-23,50.0
2016-02-03,-1.6666666666666676
2016-02-05,-40.0
2016-02-09,0.0
2016-02-10,50.0
2016-02-11,104.44444444444444
2016-02-12,0.0
2016-02-14,35.0
2016-02-16,75.0
2016-02-17,0.0
2016-02-18,133.54166666666666
2016-02-19,7.5
2016-02-20,0.0
2016-02-21,70.0
2016-02-22,31.523809523809526
2016-02-23,21.818181818181817
2016-02-24,-1.6666666666666643
2016-02-27,123.04166666666666
2016-02-28,33.666666666666664
2016-02-29,-18.75
2016-03-01,144.85714285714286
2016-03-02,78.8888888888889
