date,tweet
2020-10-13 10:18:03,RT @TheLeoTerrell: I am more qualified to become Vice-President than @SenKamalaHarris .  She has no morals and will sell her soul for power…
2020-10-13 10:17:37,RT @TheLeoTerrell: Drop this nonsense #Kayne and support @realDonaldTrump Stop playing head games and seeking attention. This election is r…
2020-10-13 10:16:41,RT @realDonaldTrump: Almost nobody showed up to the Sleepy Joe Biden “Rally” in Ohio. The reporting and polls are a Media Con Job - Fake Ne…
2020-10-13 10:16:39,"RT @realDonaldTrump: So Biden is coughing and hacking and playing “fingers” with his mask, all over the place, and the Fake News doesn’t wa…"
2020-10-13 10:12:30,"RT @ACTBrigitte: I hear leftists saying they are worried about a peaceful transition of power if Trump loses...

This coming from the peopl…"
2020-10-13 10:12:18,"RT @ACTBrigitte: Every time you hear a Biden commercial telling you all of his 'great' ideas, ask yourself...

Why didn't he do it during h…"
2020-10-13 10:06:43,"RT @ACTBrigitte: God Bless You, Mr. President!!

I will always stand for TRUTH and I will always stand with YOU!"
2020-10-13 10:06:07,Thank you! https://t.co/6MRdXZ74AQ
2020-10-13 10:05:02,"He must create a list, like I did! Always considered most important Presidential decision. Voter’s entitled to know!!!! https://t.co/yLaLTcOyPy"
2020-10-13 09:59:48,"Mitt can’t be thrilled about this! Joe also said yesterday he’s running for the U.S. Senate (again) and totally forgot where he was (wrong State!). Joe has never been a nice or kind guy, so it’s easier to find this obvious &amp; rapidly getting worse “dementia” unacceptable for USA! https://t.co/QIpH7RDfAV"
2020-10-13 04:28:57,"RT @marklevinshow: There Joe goes again
https://t.co/w8bQGNcMbz"
2020-10-13 04:28:24,RT @GreggJarrett: Florida Man Caught Requesting Ballot For Wife Who Died In 2018 https://t.co/bFwNOM4Etm
2020-10-13 04:27:55,RT @GreggJarrett: World Health Organization Appeals To ‘All World Leaders: Stop Using Lockdown As Your Primary Control Method’ https://t.co…
2020-10-13 04:26:49,"....Much of the money we have spent is on our ground game, said to be the best ever put together. I’ll let you know how good it is on November 3rd. Very expensive to do, but opportunity could be BIG! I will spend additional money if we are not spending enough!"
2020-10-13 04:26:49,"I keep reading Fake News stories that my campaign is running low on money. Not true, &amp; if it were so, I would put up money myself. The fact is that we have much more money than we had 4 years ago, where we spent much less money than Crooked Hillary, and still easily won, 306-223!"
2020-10-13 04:13:17,"Great Florida Rally tonight. Big crowd, lot of enthusiasm (you win races with enthusiasm). Just got back. Tomorrow night it’s off to Pennsylvania and another BIG crowd. We are winning. Economy is starting to boom. Good timing!!!"
2020-10-13 02:08:35,WH Physician: Donald Trump Now Testing Negative for Coronavirus https://t.co/OR5PL893UO via @BreitbartNews
2020-10-13 02:03:38,https://t.co/TNBaLBfHwZ
2020-10-13 02:01:48,Charles Hurt: The Democrats Have Wanted to Destroy the Court for Decades https://t.co/C9KjZnYNg6 via @BreitbartNews VOTE TRUMP!
2020-10-13 01:55:38,"READ: Left-wing Radicals Post Online Guide to ‘Disrupting‘ the Country if Election is Close https://t.co/cBqmI2Fudi via @BreitbartNews. They know it is over for them. Law &amp; Order will prevail, strong version!"
2020-10-13 00:38:00,"FLORIDA! Send in your absentee ballot if you have requested one. In-person Early Voting begins next week—so get your friends, get your family, get your neighbors, and GET OUT AND VOTE! Need more information? Go to https://t.co/gsFSgh2KPc! #MAGA https://t.co/WjjYSjZKKS"
2020-10-13 00:27:45,"I did more in 47 months than Biden did in 47 years. Now, he is pushing the most far-left agenda ever put forward by a presidential nominee...
https://t.co/ON0iRBfFS2"
2020-10-13 00:25:31,"Biden refuses to answer questions on packing the Supreme Court. He says voters “don’t deserve” to know. If they win, Dems will pack the #SCOTUS w/ radical left justices who will shred the #2A, empower violent mobs, and shield deadly criminals &amp; terrorists. https://t.co/alVSZUDc73"
2020-10-13 00:21:05,"Joe Biden’s agenda would be a catastrophe for Florida Seniors. For years, Biden tried to cut Social Security and Medicare. Now Biden is pledging mass amnesty and federal healthcare for illegal aliens—decimating Medicare and destroying Social Security...https://t.co/GgHP0NvpEe"
2020-10-13 00:14:59,"It was great to be back in my home state of FLORIDA to make my official return to the campaign trail. I am energized by your prayers, humbled by your support, and absolutely determined to finish what we started and Make America Greater than Ever Before! https://t.co/XrQG0KPdUo"
2020-10-13 00:13:05,https://t.co/uMa2jU8inP
2020-10-12 22:32:41,"Getting ready to land in Florida. BIG CROWD! Live on various networks: @OANN, @cspan, @newsmax and others!!!"
2020-10-12 22:30:10,".@FoxNews allows more negative ads on me than practically all of the other networks combined. Not like the old days, but we will win even bigger than 2016. Roger Ailes was the GREATEST!"
2020-10-12 22:22:39,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!"
2020-10-12 22:18:01,"Biden losing big in Florida. Only Fake Polls show otherwise! Bad for Healthcare. Thinks he’s running for the Senate. Forgot Mitt Romney’s name, and where he was!"
2020-10-12 22:04:48,Happy National Farmers Day! https://t.co/2Q8dbu5UyO
2020-10-12 21:42:40,"The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself. Open up your states, Democrat governors. Open up New York. A long battle, but they finally did the right thing!"
2020-10-12 21:14:46,Republicans should be strongly focused on completing a wonderful stimulus package for the American People!
2020-10-12 21:11:04,"What’s going on, almost nobody is showing up for Sleepy Joe rallies!"
