date,tweet
2020-09-18 13:04:56,Don’t let the system pit us against each other ... JAY IS MY BROTHER ... I have eternal love for all artist that have been through and are still trapped this crooked system.   Jay still doesn’t get his own masters back for ten years. I will see to it that we all get our masters https://t.co/LshyaIVO1Y
2020-09-18 04:06:07,Artist are founders
2020-09-17 18:54:08,DIAMONDS UP https://t.co/jtojsCEVu6
2020-09-17 17:47:52,WE’VE NEVER SEEN ANYTHING LIKE THIS BEFORE ... LOOK HOW ALL THE ARTIST STOOD UP     PRAISE GOD MY BROTHERS ITS TIME FOR FREEDOM    KEEP PRAYING
2020-09-16 17:39:39,"90% of the record contracts on the planet are still on a royalty A standard record deal is a trap to NEVER have you recoup, and there’s all these hidden costs like the “distribution fees” many labels put in their contracts to make even more money off our work without even trying."
2020-09-16 17:36:20,ONLY MUSEUM QUALITY BOYS https://t.co/zsjzzQytDx
2020-09-16 17:26:41,HI GUYS ... TRUST ME WE WILL NOT STOP ... HITBOY FIRST TO STAND UP ... I DIDN’T HAVE A PROBLEM WITH HIM PRODUCING FOR BEYONCÉ ... I HAD A PROBLEM WITH THE FACT HE WAS SIGNED TO ME AND I DIDN’T KNOW BUT I KNEW JAY AND BEYONCÉ AND HIT-BOY ... JUST FOR CLARITY
2020-09-16 17:23:20,From HITBOY LETS GOOOOO https://t.co/Wi9Kk71lzf
2020-09-16 17:22:19,In the spirit of my God father Irving and his best friend Robert
2020-09-16 17:20:41,TRUST ME I WONT STOP UNTIL ALL IS FAIR TRUST ME FROM NAT YE AKA BABY PUTIN
2020-09-16 17:13:33,Trust me ... I WONT STOP https://t.co/RmVkqrSa4F
2020-09-16 17:11:44,Bono can I get a retweet     Love you Paul can I get a retweet love you Drake Kendrick even Taylor    We need you right noooooow ⛷
2020-09-16 17:10:21,ALL THE MUSICIANS WILL BE FREE
2020-09-16 17:01:39,I wonder if Universal gonna call me ... I promise I have more ideas ... I will not stop I PROMISE YOU ON GOD
2020-09-16 17:00:34,01 This Is The Glory - 07.14.20 Ye Edit.mp3
2020-09-16 16:59:39,Ok all music coming next
2020-09-16 16:59:21,Whew 😅 that was a lot guys 🤣
2020-09-16 16:58:43,https://t.co/3S8Lr6DEjk
2020-09-16 16:58:29,https://t.co/cLdtx9Cw5m
2020-09-16 16:58:16,https://t.co/BO23lRrhYA
2020-09-16 16:57:57,https://t.co/gFELvLHLQ2
2020-09-16 16:57:46,https://t.co/m31Qi8TEdh
2020-09-16 16:57:21,https://t.co/N3NuBQTUF3
2020-09-16 16:57:12,https://t.co/32KMKaiO8C
2020-09-16 16:57:04,https://t.co/IEN6MBkKmz
2020-09-16 16:56:56,https://t.co/U7KxxzFOAF
2020-09-16 16:56:43,https://t.co/yb6o5CbvqN
2020-09-16 16:55:46,https://t.co/QfO66E1NVy
2020-09-16 16:55:36,https://t.co/AJh1A5pVqA
2020-09-16 16:53:26,https://t.co/BqhDjrlyCt
2020-09-16 16:53:10,https://t.co/YJppSPr2EL
2020-09-16 16:52:56,https://t.co/03qlfI55vX
2020-09-16 16:52:49,https://t.co/6U5BUW6TYS
2020-09-16 16:52:41,https://t.co/cCY00AjYfj
2020-09-16 16:52:32,https://t.co/eKTqTNIJwD
2020-09-16 16:52:23,https://t.co/VOlACOy24k
